Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
p16x65bins.33,0.10833668,0.037187956,0.19784282,0.18277375,0.18767641,0.3173797,0.09488245,0.014593012,0.18628,0.09590408,0.22458354,0.019162899,0.07404206,0.057060786,0.09336197,0.028751224,0.05175826,0.09966148,0.15935,0.27041
jk18x7bins.54,0.05891841,0,0,0,0,0,0,0,0.30909297,0.027355779,0.7375783,0,0,0,0,0,0,0,0,0
p16x33bins.38,0.008257201,0.016740333,0.0122808665,0.008648602,0.09527993,0.044045106,0.014915438,0,0.024287006,0,0.034792453,0.01234869,0.30116704,0.08981192,0.02212045,0.013748615,0.084482126,0.027872866,0.055556346,0
p16x65bins.39,0.40555668,0,0.1544678,0.16570696,4.5320063,7.796934,0,0,0.1284471,0.34048435,0.12535089,1.5064459,0,0,0.21380152,0.16391735,0.42168775,0.4969344,15.558697,13.839699
p16x44bins.23,7.2796493,0,0.8913805,2.3857238,0,0,0,0,1.1947296,6.559508,1.7982451,0.8991128,0,0,13.296681,11.996754,0,0,0.35158455,0
p16x33bins.2,0.0430567,0.019318229,0.17995206,0.18080482,0.18417856,0.24523452,0.077286884,0.014345669,0.15217707,0.061681394,0.24530125,0.070051305,0.5527309,0.5260092,0.20782259,0.06290309,0.100161105,0.27426374,0.07954473,0.048638538
p16x34bins.10,0,0,0,0,0.038168844,0.033418033,0,0,0.0035767015,0,0,0,0.020910718,0.49980512,0.18466969,0.0361182,0.10050204,0.12303143,0.036143266,0.027289335
jk18x40bins.35,0,0,0,0,0,0,1.2180711,0,0.16256483,0,0,0,0,0,0,0,0,0,0,0
p16x43bins.35,0.0065619117,0.032819197,0.03788559,0.0744429,0.14656533,0.05554122,0,0,0,0,0,0,0.270542,0,0.8208838,0.35740846,0,0,0.09073163,0.10074732
jk18x27bins.69,0.0044622254,0.03955168,0.011267076,0.08985283,0.29894674,0,0,0,0.006887185,0,0.0060499893,0.0068938183,0.061685394,0.10703839,0.010510318,0,0,0,0,0
jk18x25bins.86,0,0.00809465,0.14458078,0.362451,0.038074933,0,0,0,0,0,0,0,0.07782832,0.014755988,0.021081407,0.011454193,0.0063282717,0.012363072,0,0
jk18x27bins.37,0,0,0.1456907,0.17595953,0.37379676,0,0.084871456,0.017905064,0.0067632105,0,0.011679243,0,0,0,0.019012397,0.0079303235,0,0,0.02221218,0.011476622
